user_id,user_url,post_url,link,text,Polarity,Sentiment,likes,comments,shares
112328093744971,https://facebook.com/pakistanijournal/?__tn__=C-R,https://facebook.com/pakistanijournal/posts/541988314112278,,"Despite COVID-19, automakers assembled 215,776 cars, jeeps, SUVs, and LCVs in 2021, CEO of Engineering Development Board (EDB) Raza Abbas Shah told the Minister of Industries and Production Makhdoom Syed Murtaza Mahmud earlier today.

During a briefing session on the automobile industry earlier today, CEO EDB claimed that the automotive industry is making strides due to the incentives offered in Automotive Development Policy (ADP) 2016-21 and Automotive Industry Development and Export Policy (AIDEP) 2021-26.

He added that, at the current pace of operations, it will achieve its annual production target of up to 300,000 units this year.
.
.
.
#pakistanijournal #cars #carsproduction #carsinpakistan #carproductioncapacity",0.9362767,1,0,0,0
112328093744971,https://facebook.com/pakistanijournal/?__tn__=C-R,https://facebook.com/pakistanijournal/posts/541451107499332,,"English Football Club, #BlackburnRovers have won the hearts of thousands of their Muslim supporters after announcing to open their stadium for the Eid-ul-Fitr prayers, becoming the first English football club to do so.

According to details, the prayers will take place at Ewood Park from 9 am to 10 am on the first day of Eid. They will also ensure a separate prayer area for men and women.

Former Premier League champions will also provide a complimentary bus service to and from the stadium and attendees will also be offered refreshments after the conclusion of the prayers.

#englishfootballclub #eid #eidulfitr #eidulfitr2022 #eidnamaz #namaz #ramadan #ramadan2022",0.97448397,1,20,1,0
112328093744971,https://facebook.com/pakistanijournal/?__tn__=C-R,https://facebook.com/pakistanijournal/posts/541426677501775,,"A number of high-profile dignitaries were in attendance as the England and Wales Cricket Board (ECB) hosted the first-ever Iftar event at the Home of Cricket, Lord’s Cricket Ground. The event took place in the iconic Long Room of the stadium and was hosted by renowned cricket commentators, Aatif Nawaz and Tameena Hussain.

The event was a smashing success as the people thoroughly enjoyed the food and the festivities. People appreciated the educational evening as they learned about the importance of fasting during the holy month of Ramadan.

#englandcricketboard #lords #lordscricketstadium #lordscricketground #ecb #iftar #iftarparty #england #ramadan #ramadan2022",0.84727824,1,13,0,0
112328093744971,https://facebook.com/pakistanijournal/?__tn__=C-R,https://facebook.com/pakistanijournal/posts/541418224169287,,"The public is about to be hit with a massive fuel price hike Ministry of Finance and Petroleum are considering abolishing subsidies on petrol following the regime change. Finance Minister Miftah Ismail recently pointed out that the subsidy allowed on petrol for May and June would cost Rs. 96 billion, which the government cannot bear.

A week ago, Oil and Gas Regulatory Authority (OGRA) recommended an increase in prices of high-speed diesel (HSD) by Rs. 119 per liter, and of petrol by Rs. 83.50 per liter. Prime Minister Shehbaz Sharif decided not to approve that increase because of “political consideration”.

However, now, the petroleum division is considering reversing that decision. An official source told the media that the government is planning to increase petrol and diesel by a flat Rs. 20 per liter and then periodically increase the prices and remove the subsidy unless the global prices witness a significant drop.

Miftah Ismail and Shahid Khaqan Abbasi have gone on record to announce that the subsidy will be ending soon as the current international prices are too high.

Source: ProPakistani
.
.
.
.

#pakistanijournal #petrol #petrolprices #petrolpricehike #petrolpriceincrease",0.97505665,1,2,0,0
112328093744971,https://facebook.com/pakistanijournal/?__tn__=C-R,https://facebook.com/pakistanijournal/posts/541318050845971,,"Wish you all blessed and pleasant Jummah. May this valuable day bring satisfaction in your heart and fill your life with the endowments of Allah! #JummahMubarak 🥰
.
.
.
#pakistanijournal #ramadan2022 #makkah #madina #makkahalmukarramah #masjidalharam #saudiarabia #masjidnabawi #madinasharif #madinaalmunawarah #quran #Allah #prophetmuhammadﷺ #muhammadﷺ #jummah #ramadankareem #Eidulfitr2022 #EidUlFitr #hajj #umrah #hajj2022",0.9401256,1,5,0,0
112328093744971,https://facebook.com/pakistanijournal/?__tn__=C-R,https://facebook.com/pakistanijournal/posts/541009977543445,,"Former England batter #RobKey has revealed that #Pakistan is the best among all the countries he has visited.

The 42-year-old was part of the commentary panel of the historic Pakistan-Australia series. He also emphasized that the perception in England regarding the country is not right. He has been looked after better than anywhere.

""I was a bit nervous before when I came out here, I knew very little about Pakistan but I know it was two very good teams and a historic tour, it's been a privilege to be part of it,"" Key said in a video released by Pakistan Cricket Board (#PCB).

""I think in England we have this perception of Pakistan there's nowhere near right actually, we have no idea how good it really is and it's just been fantastic I think hospitality is second to none, all the countries I've been to this is the best by an absolute mile,"" he added.

Meanwhile, Key termed Australia captain Pat Cummins bowling to Pakistan skipper #BabarAzam was the best moment of the series.",0.92526996,1,11,0,0
112328093744971,https://facebook.com/pakistanijournal/?__tn__=C-R,https://facebook.com/pakistanijournal/posts/540969587547484,,"Glimpse from PTI Lahore Jalsa!

video: ptiofficial
.
.
.
#pakistanijournal #ImranKhan #Lahore #PTILahoreJalsa #LahoreJalsa",0.98631716,1,20,0,2
112328093744971,https://facebook.com/pakistanijournal/?__tn__=C-R,https://facebook.com/pakistanijournal/posts/540965750881201,,"PTI Lahore Jalsa happening right now!
.
.
.
#pakistanijournal #PTI #ImranKhan #Lahore #PTILahoreJalsa #LahoreJalsa",0.99941623,1,45,3,5
112328093744971,https://facebook.com/pakistanijournal/?__tn__=C-R,https://facebook.com/pakistanijournal/posts/540958320881944,,"After a stellar year and many individual awards, #MohammadRizwan also wins the honor of getting named the #Wisden’s Leading T20 Cricketer in the World in its 2022 edition.",0.9968067,1,12,0,0
112328093744971,https://facebook.com/pakistanijournal/?__tn__=C-R,https://facebook.com/pakistanijournal/posts/540932004217909,,"MashAllah! #YashmaGill performing Umrah with father. ❤🥰
.
.
.
.
#pakistanijournal #aimankhan #minalkhan #sajalaly #iqraaziz #ayezakhan #kubrakhan #haniaamir #alizehshah #mahirakhan #atifaslam #urwahocane #sabooraly #mayaali #kinzahashmi #sarahkhan #ayeshaomer #imrankhan #mehwishhayat #aamirliaquat #karachi #imrankhan #pakistanicelebrities #umrah #hajj #hajj2022",0.77740616,1,52,0,0
